cx	cy	cz	q_scalar	q_x	q_y	q_z
-10.614643	-0.963557	0.192740	0.113046	0.980312	-0.026112	0.159773
-10.614443	-0.964057	0.192840	0.112433	0.980650	-0.025782	0.158175
-10.614243	-0.964557	0.192940	0.111820	0.980986	-0.025454	0.156575
-10.614043	-0.965057	0.193040	0.111209	0.981318	-0.025127	0.154974
-10.613843	-0.965557	0.193140	0.110598	0.981646	-0.024801	0.153373
-10.613643	-0.966057	0.193240	0.109988	0.981972	-0.024477	0.151770
-10.613443	-0.966557	0.193340	0.109379	0.982295	-0.024153	0.150167
-10.613243	-0.967057	0.193440	0.108770	0.982614	-0.023831	0.148562
-10.613043	-0.967557	0.193540	0.108162	0.982930	-0.023510	0.146957
-10.612843	-0.968057	0.193640	0.107555	0.983243	-0.023191	0.145351
-10.612643	-0.968557	0.193740	0.106949	0.983553	-0.022873	0.143744
-10.612443	-0.969057	0.193840	0.106343	0.983859	-0.022556	0.142137
-10.612243	-0.969557	0.193940	0.105739	0.984163	-0.022240	0.140528
-10.612043	-0.970057	0.194040	0.105135	0.984463	-0.021926	0.138919
-10.611843	-0.970558	0.194140	0.104531	0.984760	-0.021613	0.137308
-10.611643	-0.971058	0.194240	0.103929	0.985054	-0.021301	0.135697
-10.611443	-0.971558	0.194340	0.103327	0.985345	-0.020990	0.134085
-10.611243	-0.972058	0.194440	0.102726	0.985632	-0.020680	0.132473
-10.611043	-0.972558	0.194540	0.102126	0.985916	-0.020372	0.130859
-10.610843	-0.973058	0.194640	0.101526	0.986198	-0.020065	0.129245
-10.610643	-0.973558	0.194740	0.100927	0.986476	-0.019759	0.127629
-10.610443	-0.974058	0.194840	0.100329	0.986750	-0.019455	0.126013
-10.610243	-0.974558	0.194940	0.099732	0.987022	-0.019151	0.124397
-10.610043	-0.975058	0.195040	0.099136	0.987290	-0.018849	0.122779
-10.609843	-0.975558	0.195140	0.098540	0.987555	-0.018548	0.121161
-10.609643	-0.976058	0.195240	0.097945	0.987818	-0.018249	0.119542
-10.609443	-0.976558	0.195340	0.097351	0.988076	-0.017950	0.117922
-10.609243	-0.977058	0.195440	0.096757	0.988332	-0.017653	0.116302
-10.609043	-0.977558	0.195540	0.096165	0.988585	-0.017357	0.114680
-10.608843	-0.978058	0.195640	0.095573	0.988834	-0.017062	0.113058
-10.608643	-0.978558	0.195740	0.094982	0.989080	-0.016768	0.111435
-10.608443	-0.979058	0.195840	0.094392	0.989323	-0.016476	0.109812
-10.608243	-0.979558	0.195940	0.093802	0.989563	-0.016184	0.108188
-10.608043	-0.980058	0.196040	0.093213	0.989799	-0.015894	0.106563
-10.607843	-0.980558	0.196140	0.092625	0.990033	-0.015605	0.104937
-10.607643	-0.981058	0.196240	0.092038	0.990263	-0.015318	0.103311
-10.607443	-0.981558	0.196340	0.091452	0.990490	-0.015031	0.101684
-10.607243	-0.982059	0.196440	0.090866	0.990714	-0.014746	0.100056
-10.607043	-0.982559	0.196540	0.090281	0.990935	-0.014461	0.098428
-10.606843	-0.983059	0.196640	0.089697	0.991153	-0.014178	0.096799
-10.606643	-0.983559	0.196740	0.089114	0.991367	-0.013896	0.095169
-10.606443	-0.984059	0.196840	0.088531	0.991578	-0.013615	0.093539
-10.606243	-0.984559	0.196940	0.087949	0.991786	-0.013336	0.091908
-10.606043	-0.985059	0.197040	0.087368	0.991991	-0.013057	0.090277
-10.605843	-0.985559	0.197140	0.086788	0.992193	-0.012780	0.088644
-10.605643	-0.986059	0.197240	0.086209	0.992391	-0.012504	0.087012
-10.605443	-0.986559	0.197341	0.085630	0.992587	-0.012229	0.085378
-10.605243	-0.987059	0.197441	0.085052	0.992779	-0.011955	0.083744
-10.605043	-0.987559	0.197541	0.084475	0.992968	-0.011682	0.082109
-10.604843	-0.988059	0.197641	0.083899	0.993154	-0.011410	0.080474
-10.604643	-0.988559	0.197741	0.083323	0.993337	-0.011140	0.078838
-10.604443	-0.989059	0.197841	0.082748	0.993516	-0.010870	0.077202
-10.604243	-0.989559	0.197941	0.082175	0.993693	-0.010602	0.075565
-10.604043	-0.990059	0.198041	0.081601	0.993866	-0.010335	0.073927
-10.603843	-0.990559	0.198141	0.081029	0.994036	-0.010069	0.072289
-10.603643	-0.991059	0.198241	0.080457	0.994203	-0.009804	0.070650
-10.603443	-0.991559	0.198341	0.079887	0.994366	-0.009540	0.069011
-10.603243	-0.992059	0.198441	0.079317	0.994527	-0.009277	0.067371
-10.603043	-0.992559	0.198541	0.078748	0.994684	-0.009016	0.065731
-10.602843	-0.993059	0.198641	0.078179	0.994839	-0.008755	0.064090
-10.602643	-0.993559	0.198741	0.077612	0.994990	-0.008496	0.062448
-10.602443	-0.994060	0.198841	0.077045	0.995138	-0.008237	0.060807
-10.602243	-0.994560	0.198941	0.076479	0.995282	-0.007980	0.059164
-10.602043	-0.995060	0.199041	0.075914	0.995424	-0.007724	0.057521
-10.601843	-0.995560	0.199141	0.075349	0.995562	-0.007469	0.055878
-10.601643	-0.996060	0.199241	0.074785	0.995698	-0.007215	0.054234
-10.601443	-0.996560	0.199341	0.074223	0.995830	-0.006962	0.052589
-10.601243	-0.997060	0.199441	0.073661	0.995959	-0.006710	0.050944
-10.601043	-0.997560	0.199541	0.073099	0.996085	-0.006459	0.049299
-10.600843	-0.998060	0.199641	0.072539	0.996207	-0.006209	0.047653
-10.600643	-0.998560	0.199741	0.071979	0.996327	-0.005961	0.046007
-10.600443	-0.999060	0.199841	0.071420	0.996443	-0.005713	0.044360
-10.600243	-0.999560	0.199941	0.070862	0.996556	-0.005467	0.042713
-10.600043	-1.000060	0.200041	0.070305	0.996666	-0.005221	0.041065
