ax	ay	az
0.014665	-0.004242	-0.019757
0.014640	-0.004036	-0.019480
0.014002	-0.004965	-0.019906
0.014258	-0.003950	-0.019662
0.014202	-0.004565	-0.015161
0.015055	-0.003999	-0.019577
0.014419	-0.004529	-0.019839
0.014385	-0.004393	-0.014951
0.015224	-0.004406	-0.019877
0.015189	-0.004725	-0.023852
0.014418	-0.004279	-0.015277
0.014489	-0.005197	-0.019674
0.015085	-0.004154	-0.015170
0.015339	-0.004194	-0.024197
0.015278	-0.004966	-0.014945
0.015417	-0.004807	-0.024079
0.014924	-0.004783	-0.015254
0.015178	-0.004290	-0.015297
0.015896	-0.004778	-0.023831
0.015727	-0.004828	-0.024140
0.014768	-0.004884	-0.006080
0.015947	-0.004734	-0.028819
0.016217	-0.004713	-0.019428
0.014674	-0.005186	-0.015232
0.016009	-0.004970	-0.019607
0.016563	-0.005011	-0.019464
0.015488	-0.004403	-0.019681
0.016374	-0.005186	-0.019628
0.015262	-0.005210	-0.019691
0.016442	-0.005227	-0.014895
0.016462	-0.004963	-0.024353
0.016065	-0.004576	-0.019607
0.016695	-0.005556	-0.014917
0.016189	-0.005407	-0.024260
0.016769	-0.004890	-0.019630
0.016450	-0.005122	-0.015025
0.015972	-0.005327	-0.024144
0.017305	-0.005481	-0.015193
0.016233	-0.005383	-0.019551
0.017546	-0.005278	-0.024189
0.016041	-0.005120	-0.015086
0.017662	-0.005418	-0.019591
0.017233	-0.005732	-0.024464
0.016110	-0.005334	-0.014767
0.017920	-0.005163	-0.019838
0.017159	-0.006058	-0.024105
0.016939	-0.005581	-0.015344
0.017568	-0.005179	-0.024028
0.016973	-0.005862	-0.015251
0.018136	-0.005672	-0.024189
0.017673	-0.005664	-0.019717
0.016587	-0.005624	-0.010680
0.018542	-0.005644	-0.028829
0.017516	-0.006189	-0.019467
0.017439	-0.005734	-0.019805
0.018348	-0.005926	-0.015190
0.018757	-0.005323	-0.028947
0.016915	-0.006079	-0.014882
0.018032	-0.006546	-0.015728
0.018477	-0.005853	-0.023973
0.018016	-0.005418	-0.024371
0.018985	-0.006554	-0.015243
0.018561	-0.005431	-0.019958
0.017256	-0.006847	-0.019770
0.019059	-0.006141	-0.024165
0.018957	-0.005843	-0.019820
0.018060	-0.006306	-0.015388
0.018763	-0.006496	-0.024408
0.019092	-0.005693	-0.020007
0.019060	-0.006718	-0.019693
0.018524	-0.006449	-0.020232
0.019413	-0.006222	-0.019507
0.018597	-0.006762	-0.024233
0.019509	-0.006031	-0.020284
0.019150	-0.006067	-0.015500
0.019571	-0.007299	-0.028903
0.018105	-0.006559	-0.011051
0.020829	-0.006518	-0.028938
0.018857	-0.006293	-0.015298
0.019370	-0.007189	-0.020361
0.019673	-0.006263	-0.024318
0.019807	-0.006992	-0.015597
0.019920	-0.006897	-0.024568
0.020233	-0.006454	-0.024370
0.019235	-0.006807	-0.011358
0.019514	-0.007415	-0.029142
0.020653	-0.006810	-0.015882
0.020594	-0.006747	-0.024096
0.019424	-0.007091	-0.020281
0.021030	-0.006759	-0.020423
0.019815	-0.007333	-0.019995
0.020393	-0.007161	-0.025202
0.019962	-0.007329	-0.015425
0.020823	-0.007082	-0.024474
0.021098	-0.006830	-0.020596
0.020931	-0.007847	-0.024511
0.019593	-0.007222	-0.016378
0.021973	-0.006938	-0.019838
0.020362	-0.007733	-0.029604
0.020855	-0.007327	-0.015711
0.020472	-0.007457	-0.016189
0.022231	-0.007665	-0.029327
0.020897	-0.007425	-0.020265
0.020476	-0.007556	-0.020635
0.022007	-0.007609	-0.020262
0.021677	-0.007733	-0.020785
0.020665	-0.008048	-0.025029
0.022067	-0.007154	-0.020386
0.021135	-0.008280	-0.020760
0.022016	-0.007570	-0.020640
0.021946	-0.007685	-0.024708
0.020987	-0.007986	-0.016782
0.022733	-0.008386	-0.024870
0.021487	-0.007691	-0.020889
0.022248	-0.008401	-0.024689
0.021938	-0.007277	-0.016948
0.022353	-0.009035	-0.024573
0.021975	-0.007578	-0.021252
0.022771	-0.008642	-0.025415
0.021675	-0.008184	-0.020600
0.023164	-0.007591	-0.021069
0.022400	-0.009439	-0.020903
0.022432	-0.007430	-0.025022
0.022529	-0.008794	-0.016770
0.022595	-0.009298	-0.025753
0.022422	-0.007748	-0.021020
0.023625	-0.008699	-0.020598
0.023665	-0.008265	-0.030423
0.022522	-0.008807	-0.016290
0.022239	-0.008806	-0.017074
0.023725	-0.008313	-0.030008
0.023954	-0.009318	-0.020742
0.022105	-0.008914	-0.021705
