cx	cy	cz	q_scalar	q_x	q_y	q_z
-10.719438	-0.701535	0.140329	0.772686	-0.035267	-0.608694	0.176647
-10.719238	-0.702035	0.140429	0.772585	-0.033179	-0.608901	0.176779
-10.719038	-0.702535	0.140529	0.772478	-0.031092	-0.609109	0.176910
-10.718838	-0.703035	0.140629	0.772365	-0.029006	-0.609317	0.177040
-10.718639	-0.703535	0.140729	0.772246	-0.026921	-0.609526	0.177170
-10.718439	-0.704035	0.140829	0.772122	-0.024837	-0.609735	0.177298
-10.718239	-0.704535	0.140929	0.771991	-0.022754	-0.609945	0.177426
-10.718039	-0.705035	0.141029	0.771854	-0.020672	-0.610155	0.177553
-10.717839	-0.705535	0.141129	0.771711	-0.018591	-0.610366	0.177679
-10.717639	-0.706035	0.141229	0.771562	-0.016511	-0.610577	0.177804
-10.717439	-0.706535	0.141329	0.771408	-0.014433	-0.610789	0.177929
-10.717239	-0.707035	0.141429	0.771247	-0.012355	-0.611002	0.178052
-10.717039	-0.707535	0.141529	0.771080	-0.010279	-0.611215	0.178175
-10.716839	-0.708035	0.141629	0.770908	-0.008204	-0.611428	0.178297
-10.716639	-0.708535	0.141729	0.770729	-0.006130	-0.611642	0.178418
