wx	wy	wz
0.089730	0.336076	-0.011988
0.089778	0.336063	-0.012229
0.089826	0.336050	-0.012381
0.089864	0.336039	-0.012529
0.089916	0.336023	-0.012676
0.089960	0.336018	-0.012826
0.090007	0.335997	-0.013065
0.090059	0.335993	-0.013118
0.090104	0.335977	-0.013359
0.090155	0.335967	-0.013550
0.090200	0.335949	-0.013603
0.090257	0.335941	-0.013843
0.090307	0.335927	-0.013986
0.090356	0.335911	-0.014177
0.090411	0.335900	-0.014320
0.090461	0.335887	-0.014466
0.090512	0.335874	-0.014653
0.090565	0.335855	-0.014750
0.090627	0.335846	-0.015031
0.090673	0.335827	-0.015078
0.090736	0.335816	-0.015314
0.090793	0.335802	-0.015455
0.090847	0.335787	-0.015598
0.090900	0.335770	-0.015780
0.090967	0.335759	-0.015968
0.091020	0.335741	-0.016150
0.091082	0.335727	-0.016247
0.091137	0.335710	-0.016430
0.091201	0.335694	-0.016612
0.091263	0.335680	-0.016752
0.091320	0.335664	-0.016934
0.091384	0.335648	-0.017120
0.091451	0.335628	-0.017254
0.091509	0.335614	-0.017436
0.091577	0.335599	-0.017572
0.091642	0.335580	-0.017800
0.091704	0.335563	-0.017934
0.091765	0.335545	-0.018068
0.091840	0.335531	-0.018248
0.091905	0.335510	-0.018429
0.091968	0.335495	-0.018562
0.092037	0.335474	-0.018742
0.092112	0.335464	-0.018919
0.092178	0.335434	-0.019052
0.092246	0.335425	-0.019277
0.092323	0.335405	-0.019405
0.092389	0.335383	-0.019586
0.092465	0.335368	-0.019760
0.092530	0.335345	-0.019893
0.092604	0.335327	-0.020068
0.092682	0.335306	-0.020243
0.092753	0.335291	-0.020416
0.092827	0.335266	-0.020547
0.092903	0.335249	-0.020770
0.092984	0.335226	-0.020942
0.093060	0.335212	-0.021069
0.093132	0.335188	-0.021198
0.093213	0.335171	-0.021417
0.093289	0.335145	-0.021590
0.093372	0.335121	-0.021762
0.093450	0.335109	-0.021933
0.093530	0.335085	-0.022060
0.093606	0.335060	-0.022233
0.093693	0.335038	-0.022448
0.093771	0.335019	-0.022575
0.093861	0.334996	-0.022791
0.093938	0.334976	-0.022912
0.094018	0.334949	-0.023085
0.094113	0.334930	-0.023253
0.094190	0.334905	-0.023472
0.094279	0.334885	-0.023546
0.094370	0.334863	-0.023806
0.094449	0.334833	-0.023975
0.094544	0.334815	-0.024097
0.094619	0.334789	-0.024265
0.094717	0.334765	-0.024481
0.094804	0.334741	-0.024599
0.094899	0.334720	-0.024811
0.094984	0.334692	-0.024935
0.095077	0.334667	-0.025142
0.095169	0.334645	-0.025313
0.095260	0.334620	-0.025430
0.095355	0.334589	-0.025690
0.095446	0.334568	-0.025805
0.095540	0.334541	-0.025973
0.095638	0.334515	-0.026182
0.095734	0.334493	-0.026301
0.095832	0.334464	-0.026513
0.095924	0.334439	-0.026673
0.096017	0.334409	-0.026884
0.096120	0.334386	-0.027002
0.096223	0.334356	-0.027210
0.096320	0.334329	-0.027372
0.096416	0.334305	-0.027489
0.096519	0.334279	-0.027744
0.096619	0.334247	-0.027904
0.096716	0.334215	-0.028022
0.096822	0.334191	-0.028229
0.096931	0.334162	-0.028435
0.097026	0.334137	-0.028551
0.097138	0.334105	-0.028757
0.097232	0.334077	-0.028919
0.097346	0.334050	-0.029077
0.097448	0.334017	-0.029332
0.097556	0.333987	-0.029398
0.097665	0.333956	-0.029648
0.097774	0.333933	-0.029808
0.097877	0.333898	-0.029969
0.097990	0.333867	-0.030172
0.098097	0.333835	-0.030285
0.098211	0.333806	-0.030538
0.098314	0.333777	-0.030648
0.098435	0.333742	-0.030898
0.098540	0.333712	-0.030964
0.098663	0.333679	-0.031259
0.098769	0.333651	-0.031371
0.098885	0.333617	-0.031527
0.098997	0.333585	-0.031779
0.099121	0.333551	-0.031934
0.099224	0.333519	-0.032045
0.099343	0.333485	-0.032294
0.099470	0.333452	-0.032450
0.099583	0.333420	-0.032606
0.099700	0.333383	-0.032808
0.099814	0.333352	-0.032964
0.099942	0.333318	-0.033164
0.100058	0.333281	-0.033322
0.100184	0.333252	-0.033521
0.100301	0.333211	-0.033724
0.100423	0.333182	-0.033877
0.100554	0.333145	-0.034032
0.100669	0.333105	-0.034278
0.100796	0.333071	-0.034388
0.100924	0.333038	-0.034589
0.101047	0.333001	-0.034788
0.101168	0.332961	-0.034942
0.101304	0.332925	-0.035186
0.101425	0.332889	-0.035297
0.101553	0.332854	-0.035451
0.101684	0.332816	-0.035694
0.101815	0.332776	-0.035893
0.101942	0.332739	-0.036047
0.102074	0.332705	-0.036200
0.102206	0.332662	-0.036400
0.102337	0.332624	-0.036597
0.102470	0.332588	-0.036796
0.102601	0.332549	-0.036950
0.102733	0.332506	-0.037148
0.102874	0.332465	-0.037346
0.103005	0.332432	-0.037453
0.103145	0.332388	-0.037696
0.103273	0.332347	-0.037849
0.103420	0.332310	-0.038091
0.103553	0.332262	-0.038244
0.103693	0.332229	-0.038395
0.103828	0.332182	-0.038639
0.103974	0.332148	-0.038791
0.104113	0.332099	-0.038988
0.104246	0.332059	-0.039186
0.104390	0.332017	-0.039337
0.104537	0.331974	-0.039535
0.104683	0.331934	-0.039729
0.104823	0.331884	-0.039928
0.104966	0.331845	-0.040125
0.105108	0.331799	-0.040277
0.105258	0.331759	-0.040472
0.105403	0.331714	-0.040671
0.105547	0.331670	-0.040820
0.105699	0.331626	-0.041019
0.105851	0.331579	-0.041258
0.105995	0.331536	-0.041410
0.106140	0.331484	-0.041607
0.106291	0.331442	-0.041759
0.106444	0.331400	-0.042001
0.106597	0.331351	-0.042150
0.106751	0.331303	-0.042391
0.106900	0.331255	-0.042544
0.107052	0.331212	-0.042697
0.107211	0.331164	-0.042935
0.107368	0.331116	-0.043176
0.107516	0.331067	-0.043237
0.107675	0.331020	-0.043525
0.107837	0.330973	-0.043719
0.107984	0.330921	-0.043872
0.108144	0.330871	-0.044068
0.108310	0.330821	-0.044263
0.108465	0.330777	-0.044459
0.108629	0.330725	-0.044656
0.108781	0.330673	-0.044853
0.108946	0.330621	-0.045001
0.109110	0.330571	-0.045245
0.109271	0.330525	-0.045441
0.109438	0.330470	-0.045590
0.109600	0.330416	-0.045833
0.109767	0.330367	-0.046029
0.109932	0.330316	-0.046179
0.110092	0.330262	-0.046421
0.110265	0.330207	-0.046573
0.110427	0.330154	-0.046768
0.110602	0.330101	-0.047010
0.110763	0.330050	-0.047161
0.110939	0.329995	-0.047357
0.111112	0.329938	-0.047602
0.111273	0.329885	-0.047749
0.111452	0.329833	-0.047948
0.111624	0.329773	-0.048189
0.111793	0.329717	-0.048342
0.111969	0.329665	-0.048582
0.112139	0.329606	-0.048735
0.112320	0.329550	-0.048977
0.112497	0.329493	-0.049174
0.112662	0.329437	-0.049281
0.112848	0.329380	-0.049569
0.113023	0.329318	-0.049764
0.113197	0.329261	-0.049962
0.113381	0.329202	-0.050114
0.113569	0.329149	-0.050403
0.113738	0.329088	-0.050552
0.113918	0.329022	-0.050709
0.114103	0.328964	-0.050949
0.114283	0.328910	-0.051193
0.114473	0.328844	-0.051345
0.114658	0.328790	-0.051545
0.114831	0.328721	-0.051742
0.115022	0.328660	-0.051984
0.115211	0.328601	-0.052182
0.115392	0.328538	-0.052336
0.115579	0.328473	-0.052580
0.115770	0.328417	-0.052780
0.115961	0.328349	-0.052977
0.116146	0.328285	-0.053180
0.116340	0.328223	-0.053375
0.116526	0.328155	-0.053617
0.116721	0.328095	-0.053820
0.116913	0.328034	-0.053975
0.117108	0.327961	-0.054264
0.117290	0.327895	-0.054374
0.117498	0.327830	-0.054664
0.117686	0.327767	-0.054817
0.117880	0.327695	-0.055020
0.118077	0.327633	-0.055263
0.118275	0.327563	-0.055419
0.118474	0.327494	-0.055665
0.118676	0.327429	-0.055909
0.118869	0.327361	-0.056022
0.119064	0.327287	-0.056314
0.119270	0.327219	-0.056473
0.119476	0.327152	-0.056714
0.119671	0.327081	-0.056916
0.119881	0.327013	-0.057121
0.120079	0.326940	-0.057321
0.120283	0.326868	-0.057573
0.120483	0.326795	-0.057727
0.120691	0.326724	-0.057972
0.120902	0.326656	-0.058178
0.121111	0.326577	-0.058423
0.121307	0.326505	-0.058586
0.121527	0.326436	-0.058785
0.121730	0.326358	-0.059081
0.121939	0.326285	-0.059238
0.122144	0.326210	-0.059400
0.122366	0.326134	-0.059693
0.122575	0.326060	-0.059896
0.122780	0.325984	-0.060102
0.123000	0.325908	-0.060305
0.123217	0.325831	-0.060513
0.123423	0.325750	-0.060763
0.123644	0.325679	-0.060967
0.123855	0.325596	-0.061174
0.124075	0.325520	-0.061381
0.124295	0.325443	-0.061628
0.124505	0.325363	-0.061796
0.124732	0.325280	-0.062044
0.124947	0.325203	-0.062253
0.125169	0.325119	-0.062500
0.125389	0.325046	-0.062670
0.125612	0.324955	-0.062915
0.125832	0.324880	-0.063128
0.126060	0.324793	-0.063382
0.126276	0.324711	-0.063588
0.126508	0.324636	-0.063799
0.126732	0.324541	-0.064008
0.126956	0.324467	-0.064258
0.127182	0.324379	-0.064426
0.127408	0.324286	-0.064683
0.127632	0.324208	-0.064893
0.127868	0.324121	-0.065099
0.128105	0.324039	-0.065404
0.128330	0.323951	-0.065566
0.128552	0.323863	-0.065737
0.128790	0.323780	-0.066037
0.129029	0.323686	-0.066245
0.129250	0.323597	-0.066462
0.129491	0.323510	-0.066677
0.129721	0.323421	-0.066887
0.129960	0.323330	-0.067188
0.130189	0.323243	-0.067311
0.130437	0.323147	-0.067616
0.130670	0.323065	-0.067788
0.130913	0.322967	-0.068090
0.131144	0.322874	-0.068217
0.131383	0.322782	-0.068478
0.131631	0.322688	-0.068777
0.131866	0.322599	-0.068907
0.132113	0.322506	-0.069169
0.132351	0.322405	-0.069426
0.132598	0.322315	-0.069601
0.132840	0.322214	-0.069906
0.133085	0.322122	-0.070082
0.133334	0.322026	-0.070344
0.133577	0.321931	-0.070560
0.133825	0.321831	-0.070778
0.134070	0.321729	-0.071045
0.134319	0.321637	-0.071218
0.134571	0.321537	-0.071481
0.134816	0.321432	-0.071745
0.135071	0.321337	-0.071922
0.135322	0.321237	-0.072146
0.135577	0.321137	-0.072453
0.135825	0.321033	-0.072628
0.136077	0.320927	-0.072854
0.136335	0.320833	-0.073118
0.136591	0.320720	-0.073383
0.136841	0.320626	-0.073564
0.137104	0.320515	-0.073832
0.137358	0.320416	-0.074058
0.137623	0.320311	-0.074277
0.137874	0.320200	-0.074548
0.138133	0.320095	-0.074777
0.138396	0.319991	-0.074957
0.138656	0.319880	-0.075222
0.138926	0.319781	-0.075540
0.139179	0.319664	-0.075680
0.139444	0.319559	-0.075947
0.139707	0.319444	-0.076222
0.139970	0.319333	-0.076405
0.140233	0.319230	-0.076676
0.140509	0.319117	-0.076950
0.140774	0.319001	-0.077130
0.141040	0.318894	-0.077408
0.141305	0.318782	-0.077639
0.141576	0.318661	-0.077870
0.141851	0.318551	-0.078140
0.142117	0.318442	-0.078334
0.142390	0.318320	-0.078600
0.142655	0.318202	-0.078881
0.142935	0.318094	-0.079072
0.143204	0.317972	-0.079349
0.143488	0.317860	-0.079577
0.143757	0.317739	-0.079860
0.144021	0.317616	-0.080004
0.144312	0.317502	-0.080368
0.144592	0.317377	-0.080567
0.144858	0.317263	-0.080796
0.145141	0.317140	-0.081034
0.145424	0.317015	-0.081317
0.145699	0.316892	-0.081551
0.145986	0.316778	-0.081785
0.146266	0.316645	-0.082073
0.146549	0.316527	-0.082308
0.146831	0.316398	-0.082551
0.147110	0.316279	-0.082784
0.147405	0.316147	-0.083069
0.147678	0.316021	-0.083224
0.147972	0.315895	-0.083551
0.148256	0.315771	-0.083793
0.148549	0.315638	-0.084080
0.148833	0.315510	-0.084272
0.149130	0.315386	-0.084562
0.149411	0.315254	-0.084809
0.149698	0.315111	-0.085047
0.150004	0.314992	-0.085337
0.150288	0.314858	-0.085584
0.150574	0.314719	-0.085781
0.150875	0.314586	-0.086115
0.151169	0.314456	-0.086316
0.151462	0.314322	-0.086567
0.151758	0.314181	-0.086812
0.152052	0.314051	-0.087101
0.152357	0.313912	-0.087349
0.152655	0.313780	-0.087599
0.152950	0.313630	-0.087851
0.153255	0.313499	-0.088142
0.153545	0.313359	-0.088389
0.153852	0.313221	-0.088600
0.154151	0.313073	-0.088889
0.154459	0.312940	-0.089192
0.154758	0.312792	-0.089438
0.155066	0.312649	-0.089651
0.155368	0.312502	-0.089943
0.155670	0.312360	-0.090157
0.155986	0.312218	-0.090498
0.156282	0.312070	-0.090707
0.156593	0.311924	-0.090963
0.156910	0.311778	-0.091259
0.157207	0.311633	-0.091481
0.157530	0.311479	-0.091772
0.157825	0.311328	-0.092032
0.158144	0.311184	-0.092291
0.158463	0.311027	-0.092592
0.158771	0.310884	-0.092807
0.159084	0.310722	-0.093066
0.159393	0.310575	-0.093372
0.159711	0.310420	-0.093589
0.160027	0.310265	-0.093893
0.160345	0.310112	-0.094148
0.160669	0.309955	-0.094461
